Year,Round,EventName,Driver,DriverNumber,Team,LapNumber,LapTime,Position,TireAge,Compound,Stint,PitInTime,PitOutTime,TrackTemp,AirTemp,Humidity,Pressure,WindDirection,WindSpeed,Rainfall,GapAhead,GapBehind,SafetyCar
2024,1,Bahrain Grand Prix,PER,11,Red Bull Racing,2.0,0 days 00:01:36.541000,4.0,5.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,33,1.1,False,-0.09399999999999997,0.695,0
2024,1,Bahrain Grand Prix,PIA,81,McLaren,2.0,0 days 00:01:38.382000,8.0,5.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,33,1.1,False,0.372,-0.10899999999999999,0
2024,1,Bahrain Grand Prix,RIC,3,RB,2.0,0 days 00:01:39.509000,15.0,5.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,33,1.1,False,1.028,-0.41500000000000004,0
2024,1,Bahrain Grand Prix,RUS,63,Mercedes,2.0,0 days 00:01:36.635000,3.0,5.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,33,1.1,False,-0.22699999999999998,-0.09399999999999997,0
2024,1,Bahrain Grand Prix,SAI,55,Ferrari,2.0,0 days 00:01:37.236000,5.0,5.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,33,1.1,False,0.695,0.784,0
2024,1,Bahrain Grand Prix,SAR,2,Williams,2.0,0 days 00:01:38.481000,14.0,2.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,33,1.1,False,-0.43899999999999995,1.028,0
2024,1,Bahrain Grand Prix,STR,18,Aston Martin,2.0,0 days 00:01:37.987000,19.0,2.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,33,1.1,False,-0.272,32.924,0
2024,1,Bahrain Grand Prix,TSU,22,RB,2.0,0 days 00:01:38.689000,10.0,2.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,33,1.1,False,0.416,0.137,0
2024,1,Bahrain Grand Prix,VER,1,Red Bull Racing,2.0,0 days 00:01:36.296000,1.0,5.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,33,1.1,False,,0.566,0
2024,1,Bahrain Grand Prix,ZHO,24,Kick Sauber,2.0,0 days 00:01:38.920000,13.0,2.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,33,1.1,False,0.009,-0.43899999999999995,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,3.0,0 days 00:01:38.507000,11.0,3.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,0.076,-0.10799999999999998,0
2024,1,Bahrain Grand Prix,ALO,14,Aston Martin,3.0,0 days 00:01:39.046000,7.0,6.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,1.259,-0.788,0
2024,1,Bahrain Grand Prix,BOT,77,Kick Sauber,3.0,0 days 00:01:38.837000,18.0,3.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,0.093,-0.558,0
2024,1,Bahrain Grand Prix,GAS,10,Alpine,3.0,0 days 00:01:38.744000,17.0,3.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,-0.027000000000000024,0.093,0
2024,1,Bahrain Grand Prix,HAM,44,Mercedes,3.0,0 days 00:01:38.303000,9.0,6.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,0.045,0.128,0
2024,1,Bahrain Grand Prix,HUL,27,Haas F1 Team,3.0,0 days 00:01:37.317000,20.0,2.0,HARD,2.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,-0.962,,0
2024,1,Bahrain Grand Prix,LEC,16,Ferrari,3.0,0 days 00:01:38.062000,3.0,6.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,1.6560000000000001,-0.765,0
2024,1,Bahrain Grand Prix,MAG,20,Haas F1 Team,3.0,0 days 00:01:38.399000,12.0,3.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,-0.10799999999999998,0.183,0
2024,1,Bahrain Grand Prix,NOR,4,McLaren,3.0,0 days 00:01:37.787000,6.0,6.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,0.707,1.259,0
2024,1,Bahrain Grand Prix,OCO,31,Alpine,3.0,0 days 00:01:38.771000,16.0,3.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,0.011,-0.027000000000000024,0
2024,1,Bahrain Grand Prix,PER,11,Red Bull Racing,3.0,0 days 00:01:37.297000,4.0,6.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,-0.765,-0.21699999999999997,0
2024,1,Bahrain Grand Prix,PIA,81,McLaren,3.0,0 days 00:01:38.258000,8.0,6.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,-0.788,0.045,0
2024,1,Bahrain Grand Prix,RIC,3,RB,3.0,0 days 00:01:38.760000,15.0,6.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,0.053,0.011,0
2024,1,Bahrain Grand Prix,RUS,63,Mercedes,3.0,0 days 00:01:36.406000,2.0,6.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,-0.347,1.6560000000000001,0
2024,1,Bahrain Grand Prix,SAI,55,Ferrari,3.0,0 days 00:01:37.080000,5.0,6.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,-0.21699999999999997,0.707,0
