Year,Round,EventName,Driver,DriverNumber,Team,LapNumber,LapTimeSeconds,Position,TireAge,Compound,Stint,TrackTemp,AirTemp,Humidity,Pressure,WindDirection,WindSpeed,Rainfall,GapAhead,GapBehind,SafetyCar,PitThisLap
2023,1,Bahrain Grand Prix,ALB,23,Williams,1.0,106.453,12.0,1.0,SOFT,1.0,31.2,27.3,22.0,1016.7,226,0.5,False,0.486,0.402,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,2.0,100.43,12.0,2.0,SOFT,1.0,31.1,27.3,22.0,1016.7,208,0.0,False,0.022,0.037,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,3.0,100.143,12.0,3.0,SOFT,1.0,31.2,27.3,22.0,1016.7,170,0.6,False,0.195,0.206,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,4.0,99.761,11.0,4.0,SOFT,1.0,31.2,27.3,22.0,1016.7,204,0.4,False,0.218,2.5060000000000002,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,5.0,100.606,11.0,5.0,SOFT,1.0,31.0,27.2,22.0,1016.7,206,1.0,False,0.325,0.058,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,6.0,100.744,11.0,6.0,SOFT,1.0,31.0,27.1,22.0,1016.9,175,0.6,False,0.413,0.07,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,7.0,100.646,11.0,7.0,SOFT,1.0,30.9,27.1,22.0,1016.9,210,0.6,False,0.158,0.08,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,8.0,100.918,11.0,8.0,SOFT,1.0,30.9,27.1,21.0,1016.9,173,1.0,False,0.356,-0.061000000000000054,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,9.0,100.969,11.0,9.0,SOFT,1.0,30.8,27.2,21.0,1016.9,193,0.6,False,0.103,-0.18600000000000005,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,10.0,101.119,11.0,10.0,SOFT,1.0,30.8,27.1,21.0,1016.9,195,0.8,False,0.261,0.014,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,11.0,103.948,12.0,11.0,SOFT,1.0,30.6,27.2,21.0,1016.9,155,0.6,False,2.416,-2.596,0,1
2023,1,Bahrain Grand Prix,ALB,23,Williams,12.0,119.445,15.0,1.0,SOFT,2.0,30.6,27.1,21.0,1016.9,178,1.2,False,-0.0050000000000000044,-20.302,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,13.0,98.649,11.0,2.0,SOFT,2.0,30.5,27.1,21.0,1016.9,152,0.8,False,0.619,21.732,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,14.0,98.472,11.0,3.0,SOFT,2.0,30.5,27.1,21.0,1016.9,141,0.8,False,-22.797,0.177,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,15.0,99.158,10.0,4.0,SOFT,2.0,30.5,27.1,21.0,1016.9,187,0.6,False,1.698,5.741,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,16.0,99.253,10.0,5.0,SOFT,2.0,30.4,27.0,21.0,1017.0,178,0.8,False,-20.623,-0.19199999999999995,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,17.0,99.094,10.0,6.0,SOFT,2.0,30.3,27.0,21.0,1017.0,208,0.6,False,1.587,-0.07299999999999995,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,18.0,99.049,10.0,7.0,SOFT,2.0,30.3,27.0,21.0,1017.0,197,0.6,False,0.922,0.253,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,19.0,99.272,10.0,8.0,SOFT,2.0,30.3,26.9,20.0,1017.0,174,0.6,False,0.685,-0.10199999999999998,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,20.0,99.299,10.0,9.0,SOFT,2.0,30.2,26.9,21.0,1017.0,240,0.6,False,-1.143,-0.017000000000000015,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,21.0,99.591,10.0,10.0,SOFT,2.0,30.1,26.9,21.0,1017.0,182,0.6,False,0.236,-0.266,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,22.0,99.588,10.0,11.0,SOFT,2.0,30.0,26.8,21.0,1017.0,183,0.4,False,0.232,-0.14900000000000002,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,23.0,99.802,10.0,12.0,SOFT,2.0,30.0,26.7,21.0,1017.0,241,0.5,False,0.491,-0.17000000000000004,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,24.0,99.89,10.0,13.0,SOFT,2.0,29.9,26.7,21.0,1017.0,199,0.8,False,0.463,0.219,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,25.0,99.832,10.0,14.0,SOFT,2.0,29.9,26.7,21.0,1016.9,180,0.6,False,0.342,-0.08599999999999997,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,26.0,102.61,10.0,15.0,SOFT,2.0,29.9,26.7,21.0,1017.0,195,0.5,False,3.11,-0.383,0,1
2023,1,Bahrain Grand Prix,ALB,23,Williams,27.0,119.87,14.0,1.0,HARD,3.0,29.9,26.8,21.0,1017.0,175,0.6,False,20.572,-21.141,0,0
2023,1,Bahrain Grand Prix,ALB,23,Williams,28.0,97.503,13.0,2.0,HARD,3.0,29.9,26.7,21.0,1017.0,199,0.8,False,-1.813,0.258,0,0
