Year,Round,EventName,Driver,DriverNumber,Team,LapNumber,LapTimeSeconds,Position,TireAge,Compound,Stint,TrackTemp,AirTemp,Humidity,Pressure,WindDirection,WindSpeed,Rainfall,GapAhead,GapBehind,SafetyCar,PitThisLap
2022,1,Bahrain Grand Prix,ALB,23,Williams,1.0,107.636,11.0,1.0,SOFT,1.0,29.1,23.9,25.0,1010.2,20,0.5,False,1.466,0.492,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,2.0,100.548,11.0,2.0,SOFT,1.0,29.0,23.8,26.0,1010.4,357,0.5,False,0.437,0.149,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,3.0,100.664,11.0,3.0,SOFT,1.0,29.0,23.8,27.0,1010.4,12,0.5,False,0.416,-0.04600000000000004,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,4.0,101.126,11.0,4.0,SOFT,1.0,28.7,23.8,29.0,1010.4,12,0.4,False,0.917,-0.16800000000000004,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,5.0,102.303,12.0,5.0,SOFT,1.0,28.5,23.8,33.0,1010.4,316,0.4,False,1.94,-0.254,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,6.0,101.708,12.0,6.0,SOFT,1.0,28.3,23.6,34.0,1010.4,12,0.2,False,1.097,-0.7050000000000001,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,7.0,101.561,12.0,7.0,SOFT,1.0,28.3,23.6,34.0,1010.4,37,0.1,False,0.807,-0.274,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,8.0,103.097,13.0,8.0,SOFT,1.0,28.1,23.5,35.0,1010.4,204,0.3,False,1.491,-0.987,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,9.0,102.149,13.0,9.0,SOFT,1.0,28.0,23.4,36.0,1010.4,26,0.2,False,1.563,0.109,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,10.0,103.5,14.0,10.0,SOFT,1.0,28.0,23.3,36.0,1010.2,50,0.2,False,2.161,-1.15,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,11.0,102.588,14.0,11.0,SOFT,1.0,28.0,23.3,36.0,1010.4,36,0.2,False,1.5310000000000001,-0.245,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,12.0,102.505,13.0,12.0,SOFT,1.0,27.9,23.2,37.0,1010.4,309,0.2,False,-21.192,-0.04300000000000004,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,13.0,104.752,14.0,13.0,SOFT,1.0,27.8,23.1,37.0,1010.5,8,0.1,False,2.517,-2.81,0,1
2022,1,Bahrain Grand Prix,ALB,23,Williams,14.0,121.075,20.0,1.0,MEDIUM,2.0,27.8,23.1,38.0,1010.4,27,0.1,False,22.896,0.0,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,15.0,99.517,19.0,2.0,MEDIUM,2.0,27.7,23.1,38.0,1010.5,20,0.2,False,0.408,19.017,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,16.0,100.164,19.0,3.0,MEDIUM,2.0,27.7,23.0,38.0,1010.4,148,0.3,False,-21.558,-0.925,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,17.0,100.265,19.0,4.0,MEDIUM,2.0,27.8,22.9,38.0,1010.5,1,0.2,False,-5.95,-0.61,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,18.0,100.225,18.0,5.0,MEDIUM,2.0,27.9,22.9,38.0,1010.5,24,0.3,False,-3.365,0.047,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,19.0,100.8,16.0,6.0,MEDIUM,2.0,27.7,22.8,37.0,1010.2,45,0.2,False,-2.366,4.442,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,20.0,100.239,16.0,7.0,MEDIUM,2.0,27.6,22.7,37.0,1010.5,16,0.4,False,-1.642,0.25,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,21.0,101.181,16.0,8.0,MEDIUM,2.0,27.6,22.8,37.0,1010.4,29,0.3,False,-0.635,-2.468,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,22.0,100.816,15.0,9.0,MEDIUM,2.0,27.5,22.8,37.0,1010.4,0,0.4,False,0.852,2.06,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,23.0,100.736,15.0,10.0,MEDIUM,2.0,27.5,22.8,36.0,1010.5,40,0.2,False,0.1,1.45,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,24.0,100.669,15.0,11.0,MEDIUM,2.0,27.5,22.8,36.0,1010.4,48,0.4,False,0.515,-0.782,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,25.0,101.032,15.0,12.0,MEDIUM,2.0,27.4,22.8,36.0,1010.5,22,0.1,False,0.412,-1.258,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,26.0,101.628,15.0,13.0,MEDIUM,2.0,27.4,22.8,36.0,1010.5,11,0.3,False,-19.294,-1.183,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,27.0,102.053,16.0,14.0,MEDIUM,2.0,27.4,22.8,36.0,1010.4,66,0.2,False,1.682,-0.871,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,28.0,101.355,16.0,15.0,MEDIUM,2.0,27.4,22.9,36.0,1010.5,277,0.3,False,1.174,-0.16700000000000004,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,29.0,101.505,16.0,16.0,MEDIUM,2.0,27.3,22.9,36.0,1010.4,6,0.2,False,1.451,-0.878,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,30.0,101.02,16.0,17.0,MEDIUM,2.0,27.3,22.9,36.0,1010.4,288,0.1,False,0.17,-0.373,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,31.0,101.23,16.0,18.0,MEDIUM,2.0,27.2,22.8,36.0,1010.5,3,0.1,False,0.375,-0.599,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,32.0,101.241,16.0,19.0,MEDIUM,2.0,27.2,22.8,36.0,1010.5,9,0.1,False,1.204,-0.5549999999999999,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,33.0,100.863,16.0,20.0,MEDIUM,2.0,27.1,22.8,36.0,1010.5,317,0.0,False,0.516,2.496,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,34.0,101.203,16.0,21.0,MEDIUM,2.0,27.1,22.8,36.0,1010.5,0,0.2,False,0.84,-1.099,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,35.0,103.965,16.0,22.0,MEDIUM,2.0,27.0,22.7,36.0,1010.5,239,0.0,False,3.513,-3.121,0,1
2022,1,Bahrain Grand Prix,ALB,23,Williams,36.0,123.311,18.0,3.0,MEDIUM,3.0,27.1,22.8,36.0,1010.5,49,0.1,False,22.653,-24.384,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,37.0,99.165,18.0,4.0,MEDIUM,3.0,27.0,22.8,35.0,1010.7,53,0.2,False,-4.316,-0.17700000000000005,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,38.0,99.127,17.0,5.0,MEDIUM,3.0,27.0,22.8,35.0,1010.7,54,0.1,False,-0.552,0.019,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,39.0,99.025,17.0,6.0,MEDIUM,3.0,26.9,22.7,36.0,1010.5,7,0.1,False,-22.489,0.295,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,40.0,99.14,17.0,7.0,MEDIUM,3.0,26.8,22.7,36.0,1010.5,183,0.2,False,1.279,0.017,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,41.0,99.285,17.0,8.0,MEDIUM,3.0,26.9,22.7,36.0,1010.5,164,0.2,False,-2.868,-0.23099999999999998,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,42.0,99.255,16.0,9.0,MEDIUM,3.0,27.0,22.7,36.0,1010.5,186,0.1,False,1.1280000000000001,1.814,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,43.0,99.325,16.0,10.0,MEDIUM,3.0,26.7,22.7,36.0,1010.5,0,0.2,False,-0.137,0.096,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,44.0,106.225,16.0,11.0,MEDIUM,3.0,26.7,22.7,36.0,1010.5,247,0.2,False,7.944,3.002,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,45.0,128.156,15.0,12.0,MEDIUM,3.0,26.7,22.7,36.0,1010.5,0,0.1,False,-5.74,4.194,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,46.0,132.997,14.0,13.0,MEDIUM,3.0,26.6,22.7,37.0,1010.5,359,0.1,False,0.0,16.267,0,1
2022,1,Bahrain Grand Prix,ALB,23,Williams,47.0,141.354,15.0,4.0,SOFT,4.0,26.6,22.6,36.0,1010.5,3,0.2,False,7.539,-22.747,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,48.0,116.756,15.0,5.0,SOFT,4.0,26.5,22.5,36.0,1010.7,354,0.2,False,2.957,0.342,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,49.0,100.113,15.0,6.0,SOFT,4.0,26.4,22.4,36.0,1010.7,320,0.2,False,2.967,-0.6599999999999999,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,50.0,97.355,15.0,7.0,SOFT,4.0,26.4,22.4,36.0,1010.7,359,0.1,False,0.029,-0.09399999999999997,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,51.0,97.702,15.0,8.0,SOFT,4.0,26.5,22.4,36.0,1010.7,261,0.1,False,0.428,-0.122,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,52.0,97.717,15.0,9.0,SOFT,4.0,26.3,22.4,36.0,1010.7,29,0.2,False,0.095,-0.06299999999999994,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,53.0,98.073,15.0,10.0,SOFT,4.0,26.4,22.4,35.0,1010.7,39,0.1,False,-0.605,-0.402,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,54.0,98.356,15.0,11.0,SOFT,4.0,26.3,22.4,36.0,1010.7,186,0.1,False,0.479,-0.236,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,55.0,98.826,14.0,12.0,SOFT,4.0,26.3,22.4,35.0,1010.7,353,0.2,False,0.498,-0.18700000000000006,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,56.0,99.202,14.0,13.0,SOFT,4.0,26.3,22.3,36.0,1010.7,205,0.2,False,0.373,-0.34199999999999997,0,0
2022,1,Bahrain Grand Prix,ALB,23,Williams,57.0,100.132,13.0,14.0,SOFT,4.0,26.3,22.3,36.0,1010.7,203,0.2,False,-0.263,-0.04800000000000004,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,1.0,105.174,9.0,4.0,SOFT,1.0,29.1,23.9,25.0,1010.2,20,0.5,False,0.904,0.996,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,2.0,100.412,9.0,5.0,SOFT,1.0,29.0,23.8,26.0,1010.4,357,0.5,False,0.243,-0.30100000000000005,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,3.0,100.226,9.0,6.0,SOFT,1.0,29.0,23.8,27.0,1010.4,12,0.5,False,0.258,0.022,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,4.0,100.097,9.0,7.0,SOFT,1.0,28.7,23.8,29.0,1010.4,12,0.4,False,-0.061000000000000054,0.112,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,5.0,100.465,9.0,8.0,SOFT,1.0,28.5,23.8,33.0,1010.4,316,0.4,False,0.216,0.018,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,6.0,100.658,9.0,9.0,SOFT,1.0,28.3,23.7,33.0,1010.4,314,0.2,False,0.184,-0.09999999999999998,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,7.0,100.823,9.0,10.0,SOFT,1.0,28.3,23.6,34.0,1010.4,37,0.1,False,0.39,-0.041000000000000036,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,8.0,102.371,10.0,11.0,SOFT,1.0,28.1,23.5,35.0,1010.4,204,0.3,False,1.929,-1.02,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,9.0,101.448,10.0,12.0,SOFT,1.0,28.0,23.4,36.0,1010.4,26,0.2,False,0.629,-0.548,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,10.0,101.873,10.0,13.0,SOFT,1.0,28.0,23.3,36.0,1010.2,50,0.2,False,0.881,-0.6910000000000001,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,11.0,104.265,11.0,14.0,SOFT,1.0,28.0,23.3,36.0,1010.4,36,0.2,False,2.952,-3.19,0,1
2022,1,Bahrain Grand Prix,ALO,14,Alpine,12.0,120.053,20.0,1.0,MEDIUM,2.0,27.9,23.2,37.0,1010.4,309,0.2,False,16.561,0.0,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,13.0,99.05,17.0,2.0,MEDIUM,2.0,27.8,23.1,37.0,1010.5,8,0.1,False,-2.991,3.411,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,14.0,99.704,14.0,3.0,MEDIUM,2.0,27.8,23.1,38.0,1010.4,27,0.1,False,-2.099,3.255,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,15.0,100.256,11.0,4.0,MEDIUM,2.0,27.7,23.1,38.0,1010.5,20,0.2,False,-1.619,21.141,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,16.0,100.572,9.0,5.0,MEDIUM,2.0,27.7,23.0,38.0,1010.4,148,0.3,False,1.867,2.02,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,17.0,99.434,9.0,6.0,MEDIUM,2.0,27.8,23.0,38.0,1010.5,65,0.1,False,0.566,2.424,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,18.0,99.809,9.0,7.0,MEDIUM,2.0,27.9,22.9,38.0,1010.5,24,0.3,False,0.921,0.216,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,19.0,99.785,9.0,8.0,MEDIUM,2.0,27.7,22.8,37.0,1010.2,45,0.2,False,0.369,-1.343,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,20.0,99.874,9.0,9.0,MEDIUM,2.0,27.7,22.7,38.0,1010.4,78,0.4,False,0.74,-0.957,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,21.0,100.087,9.0,10.0,MEDIUM,2.0,27.6,22.8,37.0,1010.4,29,0.3,False,1.004,-0.904,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,22.0,100.504,9.0,11.0,MEDIUM,2.0,27.5,22.8,37.0,1010.4,0,0.4,False,1.3519999999999999,-1.2,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,23.0,99.922,9.0,12.0,MEDIUM,2.0,27.5,22.8,36.0,1010.5,7,0.3,False,0.612,-0.42700000000000005,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,24.0,100.496,9.0,13.0,MEDIUM,2.0,27.5,22.8,36.0,1010.4,48,0.4,False,1.133,-0.61,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,25.0,102.836,10.0,14.0,MEDIUM,2.0,27.4,22.8,36.0,1010.5,22,0.1,False,2.558,-2.46,0,1
2022,1,Bahrain Grand Prix,ALO,14,Alpine,26.0,120.922,14.0,1.0,HARD,3.0,27.5,22.8,35.0,1010.5,19,0.2,False,20.375,-19.294,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,27.0,97.995,14.0,2.0,HARD,3.0,27.4,22.8,36.0,1010.4,66,0.2,False,-2.992,2.376,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,28.0,98.908,14.0,3.0,HARD,3.0,27.4,22.9,36.0,1010.5,277,0.3,False,-1.782,1.2730000000000001,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,29.0,98.68,14.0,4.0,HARD,3.0,27.3,22.9,36.0,1010.4,6,0.2,False,-2.239,1.374,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,30.0,98.626,12.0,5.0,HARD,3.0,27.3,22.9,36.0,1010.4,288,0.1,False,-1.21,2.98,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,31.0,98.958,11.0,6.0,HARD,3.0,27.2,22.8,36.0,1010.5,3,0.1,False,-0.79,1.956,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,32.0,99.153,11.0,7.0,HARD,3.0,27.2,22.8,36.0,1010.5,9,0.1,False,-0.661,-0.855,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,33.0,99.686,11.0,8.0,HARD,3.0,27.2,22.8,36.0,1010.5,15,0.2,False,-21.122,-1.576,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,34.0,99.208,11.0,9.0,HARD,3.0,27.1,22.8,36.0,1010.5,0,0.2,False,1.884,-1.053,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,35.0,99.214,11.0,10.0,HARD,3.0,27.0,22.7,36.0,1010.5,239,0.0,False,-21.161,-0.907,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,36.0,99.389,11.0,11.0,HARD,3.0,27.0,22.8,36.0,1010.5,205,0.1,False,-0.43799999999999994,-0.874,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,37.0,99.426,10.0,12.0,HARD,3.0,27.1,22.8,36.0,1010.5,317,0.2,False,-3.274,-0.575,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,38.0,100.034,10.0,13.0,HARD,3.0,27.0,22.8,35.0,1010.7,54,0.1,False,1.8239999999999998,-1.321,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,39.0,100.009,10.0,14.0,HARD,3.0,27.0,22.8,35.0,1010.5,62,0.1,False,1.397,-1.097,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,40.0,100.295,11.0,15.0,HARD,3.0,26.8,22.7,36.0,1010.5,40,0.1,False,1.9180000000000001,-2.798,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,41.0,99.854,11.0,16.0,HARD,3.0,26.9,22.7,36.0,1010.5,164,0.2,False,1.161,-2.167,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,42.0,102.925,12.0,17.0,HARD,3.0,26.9,22.7,36.0,1010.5,195,0.1,False,5.427,-5.4030000000000005,0,1
2022,1,Bahrain Grand Prix,ALO,14,Alpine,43.0,117.366,14.0,1.0,SOFT,4.0,26.9,22.7,36.0,1010.5,0,0.3,False,19.229,-17.904,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,44.0,96.733,14.0,2.0,SOFT,4.0,26.7,22.7,36.0,1010.5,247,0.2,False,-1.546,1.548,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,45.0,127.867,13.0,3.0,SOFT,4.0,26.7,22.7,36.0,1010.5,56,0.1,False,-20.132,6.029,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,46.0,130.714,12.0,4.0,SOFT,4.0,26.6,22.7,37.0,1010.5,359,0.1,False,0.498,0.0,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,47.0,111.463,12.0,5.0,SOFT,4.0,26.6,22.6,36.0,1010.5,3,0.2,False,1.4689999999999999,0.759,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,48.0,105.574,12.0,6.0,SOFT,4.0,26.5,22.5,36.0,1010.5,21,0.2,False,-1.096,1.376,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,49.0,113.977,12.0,7.0,SOFT,4.0,26.5,22.5,36.0,1010.7,354,0.2,False,-0.42800000000000005,-2.745,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,50.0,133.261,12.0,8.0,SOFT,4.0,26.4,22.4,36.0,1010.7,320,0.2,False,-1.0590000000000002,-0.5800000000000001,0,0
2022,1,Bahrain Grand Prix,ALO,14,Alpine,51.0,99.006,11.0,9.0,SOFT,4.0,26.5,22.4,36.0,1010.7,261,0.1,False,0.84,1.522,0,0
